sk_local,uf,municipio,br,km,regional,delegacia,uop
2523,BA,MUQUEM DE SAO FRANCISCO,242,698.0,SPRF-BA,DEL10-BA,UOP01-DEL10-BA
2524,RJ,SEROPEDICA,465,1.0,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ
2525,MG,BETIM,381,499.0,SPRF-MG,DEL01-MG,UOP03-DEL01-MG
2526,MT,JUSCIMEIRA,364,0.0,SPRF-MT,DEL02-MT,UOP01-DEL02-MT
2527,RN,CAICARA DO RIO DO VENTO,304,210.0,SPRF-RN,DEL01-RN,UOP03-DEL01-RN
2528,SP,SAO PAULO,381,85.0,SPRF-SP,DEL03-SP,UOP01-DEL03-SP
2529,PB,BAYEUX,101,86.0,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
2530,PA,BRASIL NOVO,230,707.0,SPRF-PA,DEL04-PA,UOP01-DEL04-PA
2531,BA,MILAGRES,116,0.0,SPRF-BA,DEL03-BA,UOP02-DEL03-BA
2532,PR,MARIALVA,376,0.0,SPRF-PR,DEL09-PR,UOP01-DEL09-PR
2533,MG,SETE LAGOAS,40,484.0,SPRF-MG,DEL02-MG,UOP01-DEL02-MG
2534,RN,CURRAIS NOVOS,226,0.0,SPRF-RN,DEL03-RN,UOP02-DEL03-RN
2535,PA,NOVO PROGRESSO,163,44.0,SPRF-MT,DEL06-MT,UOP03-DEL06-MT
2536,MS,BANDEIRANTES,163,575.0,SPRF-MS,DEL01-MS,UOP02-DEL01-MS
2537,SP,MIRACATU,116,367.0,SPRF-SP,DEL04-SP,UOP02-DEL04-SP
2538,RN,UPANEMA,110,0.0,SPRF-RN,DEL04-RN,UOP01-DEL04-RN
2539,PR,CURITIBA,116,115.0,SPRF-PR,DEL01-PR,UOP03-DEL01-PR
2540,RJ,BARRA MANSA,116,291.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
2541,RJ,MAGE,493,22.0,SPRF-RJ,DEL04-RJ,UOP02-DEL04-RJ
2542,SC,BARRA VELHA,101,0.0,SPRF-SC,DEL03-SC,UOP02-DEL03-SC
2543,PE,JABOATAO DOS GUARARAPES,101,80.0,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
2544,RJ,CAMPOS DOS GOYTACAZES,101,71.0,SPRF-RJ,DEL08-RJ,UOP02-DEL08-RJ
2545,PR,SAO JOSE DOS PINHAIS,277,75.0,SPRF-PR,DEL01-PR,UOP07-DEL01-PR
2546,SP,MIRACATU,116,360.0,SPRF-SP,DEL04-SP,UOP03-DEL04-SP
2547,BA,FEIRA DE SANTANA,116,0.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
2548,MG,BICAS,267,0.0,SPRF-MG,DEL05-MG,UOP01-DEL05-MG
2549,GO,ACREUNA,60,322.0,SPRF-GO,DEL04-GO,UOP02-DEL04-GO
2550,SP,SAO JOSE DOS CAMPOS,116,143.0,SPRF-SP,DEL02-SP,UOP01-DEL02-SP
2551,MS,NIOAQUE,60,0.0,SPRF-MS,DEL05-MS,UOP01-DEL05-MS
2552,PR,GUARATUBA,376,665.0,SPRF-PR,DEL01-PR,UOP04-DEL01-PR
2553,MA,BARRA DO CORDA,226,300.0,SPRF-MA,DEL06-MA,UOP01-DEL06-MA
2554,SP,JUQUITIBA,116,0.0,SPRF-SP,DEL04-SP,UOP03-DEL04-SP
