sk,id_natural,regional,dt_inicio,dt_fim,flag_atual
311,ITAPEMA,SPRF-SC,2026-01-01,,True
312,JAGUARACU,SPRF-MG,2026-01-01,,True
313,CURITIBANOS,SPRF-SC,2026-01-01,,True
314,TERESINA,SPRF-PI,2026-01-01,,True
315,ITAPAJE,SPRF-CE,2026-01-01,,True
316,PARAMBU,SPRF-CE,2026-01-01,,True
317,ITAJA,SPRF-RN,2026-01-01,,True
318,SANTO ANTONIO DO SUDOESTE,SPRF-PR,2026-01-01,,True
319,ITAMARAJU,SPRF-BA,2026-01-01,,True
320,BREJOES,SPRF-BA,2026-01-01,,True
321,POUSO ALEGRE,SPRF-MG,2026-01-01,,True
322,BONFIM,SPRF-RR,2026-01-01,,True
323,NOVA GLORIA,SPRF-GO,2026-01-01,,True
324,BALSA NOVA,SPRF-PR,2026-01-01,,True
325,BOM JESUS DO AMPARO,SPRF-MG,2026-01-01,,True
326,RESENDE,SPRF-RJ,2026-01-01,,True
327,ARACI,SPRF-BA,2026-01-01,,True
328,PIRIPIRI,SPRF-PI,2026-01-01,,True
329,LAVRINHAS,SPRF-SP,2026-01-01,,True
330,NOVA MUTUM,SPRF-MT,2026-01-01,,True
331,ARAPORA,SPRF-MG,2026-01-01,,True
332,ALIANCA,SPRF-PE,2026-01-01,,True
333,ELDORADO,SPRF-MS,2026-01-01,,True
334,SINOP,SPRF-MT,2026-01-01,,True
335,MAFRA,SPRF-SC,2026-01-01,,True
336,NAVIRAI,SPRF-MS,2026-01-01,,True
337,DOMINGOS MARTINS,SPRF-ES,2026-01-01,,True
338,GOIANAPOLIS,SPRF-GO,2026-01-01,,True
339,MOSSORO,SPRF-RN,2026-01-01,,True
340,PIRAI,SPRF-RJ,2026-01-01,,True
341,SAO FRANCISCO DO OESTE,SPRF-RN,2026-01-01,,True
342,CAMPOS DE JULIO,SPRF-MT,2026-01-01,,True
343,CAPELA,SPRF-SE,2026-01-01,,True
344,TIBAGI,SPRF-PR,2026-01-01,,True
345,QUEIMADAS,SPRF-PB,2026-01-01,,True
346,PEDRA AZUL,SPRF-MG,2026-01-01,,True
347,GASPAR,SPRF-SC,2026-01-01,,True
348,SANTO ANTONIO DE JESUS,SPRF-BA,2026-01-01,,True
349,SAO GONCALO DO AMARANTE,SPRF-CE,2026-01-01,2026-06-26,False
350,UMIRIM,SPRF-CE,2026-01-01,,True
351,SANTA LUCIA,SPRF-PR,2026-01-01,,True
352,BELFORD ROXO,SPRF-RJ,2026-01-01,,True
353,NOVA LIMA,SPRF-MG,2026-01-01,,True
354,MANHUACU,SPRF-MG,2026-01-01,,True
355,PRUDENTOPOLIS,SPRF-PR,2026-01-01,,True
356,XANXERE,SPRF-SC,2026-01-01,,True
357,TUBARAO,SPRF-SC,2026-01-01,,True
358,CARAI,SPRF-MG,2026-01-01,,True
359,TUNTUM,SPRF-MA,2026-01-01,,True
360,PACAJUS,SPRF-CE,2026-01-01,,True
361,CACERES,SPRF-MT,2026-01-01,,True
362,IMPERATRIZ,SPRF-MA,2026-01-01,,True
363,JOAO PINHEIRO,SPRF-MG,2026-01-01,,True
364,AMELIA RODRIGUES,SPRF-BA,2026-01-01,,True
365,ITUMBIARA,SPRF-GO,2026-01-01,,True
366,MORRETES,SPRF-PR,2026-01-01,,True
367,RIO PARDO,SPRF-RS,2026-01-01,,True
368,PIRAQUARA,SPRF-PR,2026-01-01,,True
369,QUATIS,SPRF-RJ,2026-01-01,,True
370,SAO GONCALO DO AMARANTE,SPRF-RN,2026-01-01,,True
371,SEROPEDICA,SPRF-RJ,2026-01-01,,True
372,PORTO UNIAO,SPRF-SC,2026-01-01,,True
373,CACHOEIRA DO SUL,SPRF-RS,2026-01-01,,True
374,PAULO LOPES,SPRF-SC,2026-01-01,,True
375,IPOJUCA,SPRF-PE,2026-01-01,,True
376,ITAPECERICA DA SERRA,SPRF-SP,2026-01-01,,True
377,INDAIAL,SPRF-SC,2026-01-01,,True
378,FAZENDA RIO GRANDE,SPRF-PR,2026-01-01,,True
379,AFRANIO,SPRF-PE,2026-01-01,,True
380,IBIA,SPRF-MG,2026-01-01,,True
381,GUARANTA DO NORTE,SPRF-MT,2026-01-01,,True
382,SAO CRISTOVAO DO SUL,SPRF-SC,2026-01-01,,True
383,PEIXE,SPRF-TO,2026-01-01,,True
384,BADY BASSITT,SPRF-SP,2026-01-01,,True
385,MURIAE,SPRF-MG,2026-01-01,,True
386,TEIXEIRA SOARES,SPRF-PR,2026-01-01,,True
387,BATAGUASSU,SPRF-MS,2026-01-01,,True
388,IRINEOPOLIS,SPRF-SC,2026-01-01,,True
389,JOAO MONLEVADE,SPRF-MG,2026-01-01,,True
390,SANTA RITA DO TOCANTINS,SPRF-TO,2026-01-01,,True
391,SAO LEOPOLDO,SPRF-RS,2026-01-01,,True
392,CAMBE,SPRF-PR,2026-01-01,,True
393,SANTA TEREZA DO OESTE,SPRF-PR,2026-01-01,,True
394,APARECIDA,SPRF-SP,2026-01-01,,True
395,PAULO AFONSO,SPRF-BA,2026-01-01,,True
396,BAYEUX,SPRF-PB,2026-01-01,,True
397,CAMPINA GRANDE,SPRF-PB,2026-01-01,,True
398,PETROLINA,SPRF-PE,2026-01-01,,True
399,LAJEDO,SPRF-PE,2026-01-01,,True
400,ARCOVERDE,SPRF-PE,2026-01-01,,True
401,DELTA,SPRF-MG,2026-01-01,,True
402,SAO GONCALO DO ABAETE,SPRF-MG,2026-01-01,,True
403,CAMPINORTE,SPRF-GO,2026-01-01,,True
404,TEIXEIRA DE FREITAS,SPRF-BA,2026-01-01,,True
405,JEQUIA DA PRAIA,SPRF-AL,2026-01-01,,True
406,ITABAIANA,SPRF-SE,2026-01-01,,True
407,CAPITAO DE CAMPOS,SPRF-PI,2026-01-01,,True
408,CABEDELO,SPRF-PB,2026-01-01,,True
409,GUARAI,SPRF-TO,2026-01-01,,True
410,CAETE,SPRF-MG,2026-01-01,,True
411,ARIQUEMES,SPRF-RO,2026-01-01,,True
412,LOANDA,SPRF-PR,2026-01-01,,True
413,SIMOES FILHO,SPRF-BA,2026-01-01,,True
414,INHAMBUPE,SPRF-BA,2026-01-01,,True
415,PARANAVAI,SPRF-PR,2026-01-01,,True
416,INDIANOPOLIS,SPRF-MG,2026-01-01,,True
417,MACAE,SPRF-RJ,2026-01-01,,True
418,ITAMBACURI,SPRF-MG,2026-01-01,,True
419,PRATA,SPRF-MG,2026-01-01,,True
420,TIANGUA,SPRF-CE,2026-01-01,,True
421,TRAIRAO,SPRF-PA,2026-01-01,,True
422,NOVA OLINDA DO MARANHAO,SPRF-MA,2026-01-01,,True
423,IBIRAMA,SPRF-SC,2026-01-01,,True
424,ALTAMIRA,SPRF-PA,2026-01-01,2026-06-26,False
425,CABROBO,SPRF-PE,2026-01-01,,True
426,RIO LARGO,SPRF-AL,2026-01-01,,True
427,VOLTA REDONDA,SPRF-RJ,2026-01-01,,True
428,CACHOEIRA ALTA,SPRF-GO,2026-01-01,,True
429,RIO DOS BOIS,SPRF-TO,2026-01-01,,True
430,MANAUS,SPRF-AM,2026-01-01,,True
431,PARAGOMINAS,SPRF-PA,2026-01-01,,True
432,PARIQUERA-ACU,SPRF-SP,2026-01-01,,True
433,SERRA,SPRF-ES,2026-01-01,,True
434,PAULA FREITAS,SPRF-PR,2026-01-01,,True
